,creepsPerMinDeltas,goldPerMinDeltas,xpPerMinDeltas,csDiffPerMinDeltas,xpDiffPerMinDeltas
329,8.7,363.7,482.4,0,0
330,1.7,182.8,292.9,0,0
331,6.1,318.6,402.6,-0.1,33.9
332,8.1,347.5,338.7,0.9,21
333,0.1,452.1,385.9,-0.7,161.2
334,1.3,218.2,227.4,0.9,21
335,8.4,364.6,456.4,1.4,74
336,1.4,265.2,234.2,-0.9,-21
337,0.8,258.1,224.7,0.7,-161.2
338,6.2,288.6,289.9,-0.9,-21
339,7,285,382.4,-1.4,-74
340,6.2,306.5,368.7,0.1,-33.9
341,0.8,297.1,270.6,0.38,38.76
342,6.7,376.3,474,0.38,38.76
343,1.4,191.6,210,0.38,38.76
344,5.5,290.6,380.9,0.38,38.76
345,9.2,346.6,413.8,0.38,38.76
346,9.8,381.9,500.5,-0.38,-38.76
347,0.2,260.9,282.4,-0.38,-38.76
348,5.8,253.2,283.1,-0.38,-38.76
349,1.2,137.6,166,-0.38,-38.76
350,4.7,195.4,323.5,-0.38,-38.76
351,7.6,262.3,341.4,-0.8,-18.5
352,7.2,417,430,3.8,131.5
353,6,299,415.9,0.5,-2
354,0.2,168,255.3,-0.8,-18.5
355,0.6,267.5,286.2,-0.5,-55.1
356,5.5,355.9,417.9,-0.5,2
357,1.3,177.4,286.8,0.8,18.5
358,8.1,287.9,346.9,0.8,18.5
359,3.4,197.8,298.5,-3.8,-131.5
360,1.1,362.9,341.3,0.5,55.1
361,6.1,226.5,383.5,-1,-78.2
362,8.4,436.1,346.1,1,49.6
363,0.4,259.7,280.1,1,49.6
364,7.8,311,465.7,0.1,-10.1
365,1.2,336,386.4,0.5,-52.4
366,7.1,307.2,461.7,1,78.2
367,1.7,228.2,258.9,-1,-49.6
368,0.7,342.1,438.8,-0.5,52.4
369,5.1,231.5,268.1,-1,-49.6
370,7.7,292.5,475.8,-0.1,10.1
371,0.8,267.1,271.5,-8.33E-17,-217
372,1.2,198.2,262.3,0.55,9
373,7.8,325.2,317.3,0.55,9
374,6.9,239.2,431,0,0
375,8.4,265.3,471.5,0,0
376,6.4,251.8,285.7,-0.55,-9
377,1.5,226.8,275.9,-0.55,-9
378,8.3,298,458.3,0,0
379,0.8,411.6,488.5,8.33E-17,217
380,8.8,275.1,478.5,0,0
381,7.3,368.7,472.1,0.9,75.9
382,6.2,415.4,320.5,0,0
383,5.9,298.6,354.5,0,0
384,2.4,444.5,468.7,2.4,85.4
385,1.2,281,222,0,0
386,6.4,311.7,396.2,-0.9,-75.9
387,0,409,383.3,-2.4,-85.4
388,6.6,386.2,422.5,0,0
389,6.3,307.6,315.3,0,0
390,1.6,317.2,299.9,0,0
391,8,363.6,509.5,2.2,112.9
392,0.6,381.1,368.9,0.6,23.9
393,8,398.3,501.3,1.3,99.4
394,6.8,254.9,323.9,-1.15,-86.5
395,0.4,169.8,191.9,-1.15,-86.5
396,5.8,262.2,396.6,-2.2,-112.9
397,6.7,263.5,401.9,-1.3,-99.4
398,1.3,227.7,283.8,1.15,86.5
399,8.2,281.7,405,1.15,86.5
400,0,297.7,345,-0.6,-23.9
401,0.2,264.8,314.6,-0.8,-63.94
402,1.2,173.2,217.7,-0.8,-63.94
403,6.3,227.9,394.3,-0.8,-63.94
404,6.8,247,392,-0.8,-63.94
405,5.6,310.7,309.7,-0.8,-63.94
406,8.3,360.9,491.4,0.8,63.94
407,5.8,341.1,453.5,0.8,63.94
408,0.4,314.9,375.2,0.8,63.94
409,1.1,247,292.3,0.8,63.94
410,8.5,362.5,335.6,0.8,63.94
411,8.4,290,468.1,0.1,36.9
412,1.1,222.5,242.2,-1.3,-16.45
413,6.4,390.1,348.8,-1.3,-16.45
414,0.4,347.1,373.9,2.78E-17,95.6
415,7.8,352.3,452.4,1.7,29.1
416,8.3,274.7,431.2,-0.1,-36.9
417,6.1,252.1,423.3,-1.7,-29.1
418,0.4,260.9,278.3,-2.78E-17,-95.6
419,1.4,251.6,245.4,1.3,16.45
420,8.7,452.7,378.5,1.3,16.45
421,6.7,306.1,418,0,0
422,0.3,330.7,295.2,0.1,-14.5
423,1.4,247,285.8,0.15,-8.8
424,7.5,306.5,404.4,0,0
425,8.2,318.1,358.7,0.15,-8.8
426,6.1,316.1,394.6,0,0
427,8.1,349.2,359,-0.15,8.8
428,1.2,223.1,303.1,-0.15,8.8
