,creepsPerMinDeltas,goldPerMinDeltas,xpPerMinDeltas,csDiffPerMinDeltas,xpDiffPerMinDeltas
8865,0.2,194.7,159.5,-0.12,-34.26
8866,8.8,382.7,529,0.12,34.26
8867,1,227.7,190.7,0.12,34.26
8868,1.4,408.1,426.2,0.12,34.26
8869,4.6,300.6,243.7,0.12,34.26
8870,5,389.7,357.8,0.12,34.26
8871,1.3,150.8,282.4,-0.05,-0.1
8872,1,212.8,230.8,0,0
8873,9,276,315.5,-0.05,-0.1
8874,7.6,253.5,431.7,0,0
8875,8.5,272.3,445.1,0,0
8876,1.6,174.7,255.3,0.05,0.1
8877,8.8,292.5,342.8,0.05,0.1
8878,7.9,298.6,447.8,0,0
8879,0.1,306.3,363.3,0,0
8880,9.1,384.3,513.1,0,0
8881,8.7,357.3,488.2,2.2,75.3
8882,7.8,288,455.2,0,0
8883,1.2,151.2,267.2,0,0
8884,7.4,252.4,282,0,0
8885,0.3,336,380.3,-0.5,1.8
8886,9.4,307,335.5,0,0
8887,8.8,368.2,495.5,0,0
8888,0.8,303.6,378.5,0.5,-1.8
8889,0,161.8,263.1,0,0
8890,6.5,239.2,412.9,-2.2,-75.3
8891,0.5,299.4,367.2,0.1,-10.7
8892,7.7,259.7,310,0,0
8893,1.3,158.1,243.6,0,0
8894,6.1,342.5,439.7,0,0
8895,6.9,359.3,436.5,0,0
8896,6.2,272.1,435.3,0,0
8897,0.4,367,377.9,-0.1,10.7
8898,8.3,283.9,313.7,0,0
8899,6.5,250.9,464.8,0,0
8900,1.3,195.6,258.8,0,0
8901,3.9,208.9,326.7,-0.12,13.96
8902,1.4,166.1,262.7,-0.12,13.96
8903,0.3,391.2,373.7,-0.12,13.96
8904,6.7,270,308.4,-0.12,13.96
8905,8.5,461.7,537.9,-0.12,13.96
8906,8.6,386.3,359.5,0.12,-13.96
8907,6.1,340.9,482.6,0.12,-13.96
8908,5.2,238.2,330.6,0.12,-13.96
8909,1.4,245.5,243.1,0.12,-13.96
8910,0.1,351.3,323.8,0.12,-13.96
8911,1.2,186,233.2,0.05,3.65
8912,9.1,314.1,476.3,0,0
8913,7.5,356.9,354.2,0.05,3.65
8914,8.3,328.2,466.6,0,0
8915,0.4,327.3,371.7,-0.2,-42.8
8916,0.6,333.8,414.5,0.2,42.8
8917,7.6,323.4,439.7,0,0
8918,6.8,288.3,317.3,-0.05,-3.65
8919,1.8,220.5,262.8,-0.05,-3.65
8920,5.6,293.4,459.8,0,0
8921,7.2,245.9,327.9,-0.05,-19.45
8922,5.8,289.1,431.6,0,0
8923,0.1,369.5,374.5,-0.2,34.8
8924,7.7,377.9,440.3,0,0
8925,0.6,212.8,233.1,-0.05,-19.45
8926,7.5,300,443.7,0,0
8927,0.3,341.9,339.7,0.2,-34.8
8928,6.8,313.9,444.5,0,0
8929,1,191.7,259.1,0.05,19.45
8930,6.9,287.3,340.8,0.05,19.45
8931,0.7,280,335.8,-1.1,-29.7
8932,6.9,293.6,400.3,1.8,49.1
8933,7.1,294.7,305.8,1.1,11.35
8934,6.7,346.7,450.9,-0.2,5.9
8935,1.3,217.7,285.1,1.1,11.35
8936,6.9,325.8,445,0.2,-5.9
8937,1.8,365.7,365.5,1.1,29.7
8938,2.6,244,302.1,-1.1,-11.35
8939,3.6,249,266.1,-1.1,-11.35
8940,5.1,245.2,351.2,-1.8,-49.1
8941,8.4,280,320.7,-0.3,-16.45
8942,5.2,202.3,347.9,-1.9,-171
8943,0.1,358.4,430.6,0.1,51
8944,9.4,305.3,455,1.7,-33.8
8945,1.2,167.4,263.1,-0.3,-16.45
8946,7.1,327.8,518.9,1.9,171
8947,0,273.5,379.6,-0.1,-51
8948,9,331.3,358,0.3,16.45
8949,1.2,181.3,258.7,0.3,16.45
8950,7.7,333.8,488.8,-1.7,33.8
8951,7.5,289.6,476.7,-0.1,14.3
8952,7.7,291.2,353.5,0.15,34.7
8953,1.5,232.8,294.7,0.15,34.7
8954,0.3,319.4,259.4,0,-110.9
8955,6.9,231.9,434.3,-0.6,-51.6
8956,0.5,209.8,257.1,-0.15,-34.7
8957,8.4,346.9,321.7,-0.15,-34.7
8958,7.6,342.3,462.4,0.1,-14.3
8959,0.3,311.9,370.3,0,110.9
8960,7.5,293,485.9,0.6,51.6
8961,0.1,289.8,309.3,0,-17.2
8962,7.2,300.1,385.2,0.6,-10.3
8963,6,272.1,312.8,-0.85,-32.75
8964,0.9,187.3,187.5,-0.85,-32.75
8965,8.3,350.9,467.4,4.4,150.4
8966,3.9,193.9,317,-4.4,-150.4
8967,6.6,319.9,395.5,-0.6,10.3
8968,0.1,420.2,326.5,0,17.2
8969,7.2,373.4,308.2,0.85,32.75
8970,1.4,216.6,257.6,0.85,32.75
8971,5.6,247.3,383.9,-1.4,-152.1
8972,1.1,186.1,254.1,-0.1,-31.65
8973,0.3,246.5,294.9,-0.2,-157.7
8974,7.8,335.9,315,-0.1,-31.65
8975,7.7,259.1,466.7,-0.8,-39.2
8976,8.5,378.6,505.9,0.8,39.2
8977,0.5,384.2,452.6,0.2,157.7
8978,1.4,183.4,297.2,0.1,31.65
8979,7.7,336.7,335.2,0.1,31.65
8980,7,340.6,536,1.4,152.1
8981,0.8,431.3,423.2,-0.1,82.2
8982,8.2,269.1,461.3,0.3,-40
8983,1.7,186.7,282.2,-0.25,13.9
8984,7.2,279.2,321.4,-0.25,13.9
8985,6.9,301.6,448.1,-0.1,8.4
8986,7.9,293.1,501.3,-0.3,40
8987,0.9,272,341,0.1,-82.2
8988,7,247.9,439.7,0.1,-8.4
8989,0.4,188,279.9,0.25,-13.9
8990,9,297.8,295.9,0.25,-13.9
8991,0.1,240.7,288.9,-1.18,-97.24
8992,6.1,292.4,374.9,-1.18,-97.24
8993,6.6,344.3,333.8,-1.18,-97.24
8994,5.3,196.1,321.8,-1.18,-97.24
8995,1.1,180.8,228.4,-1.18,-97.24
8996,7.5,387.5,324.5,1.18,97.24
8997,7.3,398.6,438.6,1.18,97.24
8998,8.1,420.5,569.5,1.18,97.24
8999,1.4,212.2,270.6,1.18,97.24
9000,0.8,402.4,430.8,1.18,97.24
9001,8.2,286.6,472.7,0.4,24.3
9002,7.7,308.5,448,-0.5,29.1
9003,0.7,252.7,323.2,0,-59.4
9004,1.1,221.9,267.7,1.3,21
9005,9.1,382.4,318.7,1.3,21
9006,1.9,150.1,227,-1.3,-21
9007,7.8,274.6,448.4,-0.4,-24.3
9008,8.2,276.6,418.9,0.5,-29.1
9009,0.7,285.3,382.6,0,59.4
9010,5.7,220.3,317.4,-1.3,-21
9011,0.4,257.3,268.5,-0.6,-46.04
9012,0.2,154.8,258.3,-0.6,-46.04
9013,7.7,269.3,484.8,-0.6,-46.04
9014,6.9,235.7,404.6,-0.6,-46.04
9015,8,261.7,310,-0.6,-46.04
9016,8.8,308,360.3,0.6,46.04
9017,8.6,302.3,469.5,0.6,46.04
9018,0.8,374.4,433.3,0.6,46.04
9019,0.3,176,242.9,0.6,46.04
9020,7.7,394.6,450.4,0.6,46.04
9021,7.1,256.1,401.5,1,3.6
9022,1.3,239.2,197.7,-0.6,10.8
9023,5.1,378.3,384.2,-1.4,16
9024,7.4,281.2,399.4,-0.6,10.8
9025,0.4,302.5,246.4,-0.1,-238.8
9026,0.8,236.3,169.8,0.6,-10.8
9027,6.5,343.3,368.2,1.4,-16
9028,0.5,478.9,485.2,0.1,238.8
9029,6.1,254.8,397.9,-1,-3.6
9030,9.1,345.8,405.7,0.6,-10.8
9031,8.1,265.3,420.4,1.2,-75.9
9032,0.6,218.7,280.1,-0.2,-45.3
9033,5.7,219,256.7,-0.5,-15.3
9034,1.2,160.4,299.5,-0.5,-15.3
9035,6.7,304.4,403.6,-0.8,-40.4
9036,7.5,315.4,444,0.8,40.4
9037,0.3,265.1,264.5,0.5,15.3
9038,7.6,348.8,322.3,0.5,15.3
9039,0.8,236.5,325.4,0.2,45.3
9040,6.9,290.2,496.3,-1.2,75.9
9041,9.6,326.7,399.4,1.65,54.55
9042,6.5,250.8,422.2,-1.1,-65.2
9043,0.6,424.2,425.6,-0.6,87.4
9044,5.9,333.9,380,-4.44E-16,-12.5
9045,0.5,208.7,218.7,1.65,54.55
9046,5.3,218,261.4,-1.65,-54.55
9047,7.6,319,487.4,1.1,65.2
9048,1.5,174,247.6,-1.65,-54.55
9049,1.2,462.8,338.2,0.6,-87.4
9050,5.9,272.4,392.5,4.44E-16,12.5
9051,1.2,185.8,243.6,0.45,45.2
9052,6.8,245.2,451.5,-1,-76.4
9053,8,348.2,320.1,0.45,45.2
9054,1.1,453.4,480.5,0,89
9055,6.4,284.5,452.5,0.2,89.6
9056,6.6,278.7,270.8,-0.45,-45.2
9057,7.8,289.5,527.9,1,76.4
9058,6.2,232.4,362.9,-0.2,-89.6
9059,1.7,196.5,202.5,-0.45,-45.2
9060,1.1,293.7,391.5,0,-89
9061,1,336.6,337.8,-0.04,7.38
9062,5.4,339.6,293,-0.04,7.38
9063,1.1,220.5,248.6,-0.04,7.38
9064,7.5,251.6,425.7,-0.04,7.38
9065,7.7,332.4,450.2,-0.04,7.38
9066,1.1,241.2,233.2,0.04,-7.38
9067,6.6,245.7,301.6,0.04,-7.38
9068,7.9,282.1,403.1,0.04,-7.38
9069,0.1,252.5,321,0.04,-7.38
9070,7.2,295.3,459.5,0.04,-7.38
9071,6.3,235.2,459.9,-1.1,-27.8
9072,0.7,334.7,356.4,-0.1,60.2
9073,1.2,177.2,238.6,-0.25,-17.45
9074,6.7,274.3,286.1,-0.25,-17.45
9075,7.5,376.6,487.4,0.6,63.2
9076,0.8,184.3,262.9,0.25,17.45
9077,7.6,260.7,296.7,0.25,17.45
9078,7.4,275.7,487.7,1.1,27.8
9079,6.9,302.1,424.2,-0.6,-63.2
9080,0.8,230.7,296.2,0.1,-60.2
9081,0.3,220,264.3,-0.64,-38.7
9082,1.6,186.1,254.8,-0.64,-38.7
9083,6.6,268.8,241.3,-0.64,-38.7
9084,7.8,255.3,449.3,-0.64,-38.7
9085,7.6,297.9,477.1,-0.64,-38.7
9086,7.7,334.9,502.1,0.64,38.7
9087,8.9,338.2,462,0.64,38.7
9088,1.1,179.6,239.7,0.64,38.7
9089,9.2,423.2,383.3,0.64,38.7
9090,0.2,302.6,293.2,0.64,38.7
9091,5.6,226.2,332.8,-2.1,-159.3
9092,1.2,217.7,273,1.15,27.65
9093,1.6,438.1,407.4,1.1,-8.6
9094,6.4,338.7,455.4,-1,-2.9
9095,8.1,329.6,327.7,1.15,27.65
9096,5.6,266.7,286.1,-1.15,-27.65
9097,0.5,298.7,416,-1.1,8.6
9098,1.4,257.5,259.3,-1.15,-27.65
9099,7.4,275.3,458.3,1,2.9
9100,7.7,387,492.1,2.1,159.3
9101,0.2,286.4,356.5,0.1,14.8
9102,8.4,330.4,509.6,0,0
9103,1,215.5,274.4,0.1,11.35
9104,7.7,440.8,335.3,0.1,11.35
9105,6.5,293.3,421.8,0,0
9106,0.3,219.2,240.3,-0.1,-11.35
9107,9.3,342.9,476.2,0,0
9108,7.6,257.7,440.3,0,0
9109,0.1,360.8,341.7,-0.1,-14.8
9110,8.2,462.7,346.7,-0.1,-11.35
9111,3.4,665.7,767.7,0,0
9112,2.4,483.6,828.3,0,0
9113,1.9,599.7,852.9,0,0
9114,1.1,496.1,649.7,0,0
9115,2.4,550,786.7,0,0
9116,2,626.4,830.5,0,0
9117,2.5,490,686.8,0,0
9118,0.5,425.3,707.1,0,0
9119,2,564.6,878.5,0,0
9120,3.5,608.1,759.7,0,0
9121,2.3,521.1,745.1,0.04,98.72
9122,3.9,626.4,741,0.04,98.72
9123,1.9,466.4,770.1,0.04,98.72
9124,0.6,484.7,834.5,0.04,98.72
9125,2.6,649.3,737.8,0.04,98.72
9126,5.2,547.2,672.6,-0.04,-98.72
9127,1.6,479.3,619.2,-0.04,-98.72
9128,0.5,532.7,714.3,-0.04,-98.72
9129,2,474.1,694.4,-0.04,-98.72
9130,1.8,514.1,634.4,-0.04,-98.72
9131,4.1,598.9,648.2,-0.24,-47.14
9132,1.2,393.2,632.8,-0.24,-47.14
9133,1.4,395.4,564.9,-0.24,-47.14
9134,2.5,513.7,681.7,-0.24,-47.14
9135,0,438.1,744.2,-0.24,-47.14
9136,1.2,456.8,743.3,0.24,47.14
9137,1,413.1,639.6,0.24,47.14
9138,3.3,477.3,676.1,0.24,47.14
9139,2.8,596.6,716.6,0.24,47.14
9140,2.1,608.1,731.9,0.24,47.14
9141,0.2,413.4,616.3,0,0
9142,3.5,579.3,676.1,0,0
9143,0.7,461.2,630.7,0,0
9144,2.8,433.6,547.8,0,0
9145,1.6,433.1,626,0,0
9146,2.3,621,725.8,0,0
9147,2.1,538.1,730.3,0,0
9148,1.4,490.6,742,0,0
9149,1.6,489.6,766.6,0,0
9150,4.3,520.3,710.4,0,0
9151,6.4,265.9,429.6,0,0
9152,1,240.6,250.9,0,0
9153,7.1,370.8,350.3,0,0
9154,6.6,271.8,449.8,-0.9,59.3
9155,1.4,314.9,363.9,1,15.1
9156,1.5,227.4,262.1,0,0
9157,6.8,312.4,447.6,0,0
9158,0.4,377.5,348.8,-1,-15.1
9159,7.5,259.5,390.5,0.9,-59.3
9160,8.1,322.1,340.1,0,0
9161,0.7,345.1,345.9,0,0
9162,1.4,188.2,286.2,0,0
9163,8.3,334.6,331.9,0,0
9164,9.2,291.7,506.3,-0.3,14.3
9165,7.1,306,496.9,1.4,84.2
9166,1.2,163.1,248.8,0,0
9167,5.7,222,412.7,-1.4,-84.2
9168,8.3,290.3,310.3,0,0
9169,9.5,280.7,492,0.3,-14.3
9170,0.7,363.2,440.6,0,0
9171,0.1,159.3,181.1,-0.64,-56.6
9172,4.1,210.9,254.9,-0.64,-56.6
9173,0.8,274.9,347.8,-0.64,-56.6
9174,6.9,241.5,412.5,-0.64,-56.6
9175,7,267.1,417.4,-0.64,-56.6
9176,7.4,351.8,508.9,0.64,56.6
9177,0.4,352.3,365.3,0.64,56.6
9178,1.1,310.2,324.6,0.64,56.6
9179,6.3,294.7,389.2,0.64,56.6
9180,6.9,375.1,308.7,0.64,56.6
9181,7.4,286.2,430,0,0
9182,8.2,337.9,340.8,0,0
9183,0.4,338.6,353.3,0.1,12.2
9184,0.1,225.5,263.8,0,0
9185,5.8,282.8,335.7,-1.1,-81.3
9186,4.9,194.2,262.9,0,0
9187,0.3,338,341.1,-0.1,-12.2
9188,1.7,180,280,0,0
9189,7.5,312.5,451,0,0
9190,6.9,284.4,417,1.1,81.3
9191,7.1,388.1,322.9,0,0
9192,5.3,253,358.2,0,0
9193,1.2,174,213.5,0,0
9194,0.5,273.3,316.5,0,0
9195,7.1,301.5,410.4,0,0
9196,1.2,171.9,208.9,0,0
9197,6.8,281.7,429.1,0,0
9198,0.7,290.1,309.1,0,0
9199,8.5,327.3,494.2,0,0
9200,5.7,342.4,255.2,0,0
9201,6.2,283.5,414.9,-1.1,-21.1
9202,1.8,207,197.8,0,0
9203,0.2,410.1,400.6,0,0
9204,8,365,337.6,0,0
9205,7.6,265,440.7,0.1,-31.6
9206,7.3,287.7,436,1.1,21.1
9207,0.7,352.7,342.3,0,0
9208,7.5,286.4,472.3,-0.1,31.6
9209,1.6,271.3,252.1,0,0
9210,7.4,315.8,349.6,0,0
9211,6.2,233.2,325.4,-1.5,-206.6
9212,7.9,381.3,532.3,1.5,154.9
9213,0.6,361.8,440.1,0.2,97
9214,1.2,152.4,224.1,0.1,-9.65
9215,7.7,256.2,358,0.1,-9.65
9216,1.6,280.4,315.4,-0.1,9.65
9217,0.4,307.7,343.1,-0.2,-97
9218,6.4,256.1,377.4,-1.5,-154.9
9219,7.1,336.2,286,-0.1,9.65
9220,7.7,407.5,532,1.5,206.6
9221,1.2,364.2,404.9,1,81.4
9222,7.6,300.3,490.8,1.4,60.2
9223,7.8,388.5,330,-2.22E-16,20.2
9224,8.4,454.5,513.5,2.2,99.2
9225,1.8,259.8,333,-2.22E-16,20.2
9226,2.2,257.8,289.1,2.22E-16,-20.2
9227,6.2,225.8,414.3,-2.2,-99.2
9228,7.4,302.4,333.5,2.22E-16,-20.2
9229,0.2,249.8,323.5,-1,-81.4
9230,6.2,226.6,430.6,-1.4,-60.2
9231,0.7,297.9,271.8,0,0
9232,7,294.2,422.8,0,0
9233,7.4,305.7,415.1,0,0
9234,0.6,352.6,366.3,0,0
9235,9.1,374.7,428.5,0,0
9236,6.5,319.9,406.7,0,0
9237,2.1,191.1,316.3,0,0
9238,0.3,408.1,366.2,0,0
9239,5.9,258.8,325.9,0,0
9240,8,359.1,443,0,0
9241,8.1,316.3,491.8,0.5,-18.06
9242,7.7,302.4,439.3,0.5,-18.06
9243,0.1,221.9,275.9,0.5,-18.06
9244,1,202.4,273.4,0.5,-18.06
9245,7.7,332.1,336.7,0.5,-18.06
9246,6.1,239,412.4,-0.5,18.06
9247,8.2,356.3,500.8,-0.5,18.06
9248,0.2,223.3,285.8,-0.5,18.06
9249,0.2,391,366.3,-0.5,18.06
9250,7.4,359,342.1,-0.5,18.06
9251,7.2,336.9,298,0.65,14.55
9252,1.5,186.7,276.4,0.65,14.55
9253,7.1,294,422.2,0.2,-33.6
9254,0.9,352.5,346,0.5,-15
9255,6.7,345,449.3,0.1,41.5
9256,6.9,278.8,455.8,-0.2,33.6
9257,1.2,218.5,262.4,-0.65,-14.55
9258,6.2,298.6,282.9,-0.65,-14.55
9259,6.6,338.6,407.8,-0.1,-41.5
9260,0.4,327.1,361,-0.5,15
9261,9.2,393.7,493.8,0.42,69.68
9262,0.5,365.4,398.7,0.42,69.68
9263,5.9,394.6,405.8,0.42,69.68
9264,1.2,253.4,306.7,0.42,69.68
9265,6.7,298.3,465.1,0.42,69.68
9266,1.1,244.9,286.2,-0.42,-69.68
9267,5.8,348,454.5,-0.42,-69.68
9268,7.8,264.2,265.5,-0.42,-69.68
9269,5.4,199.3,333,-0.42,-69.68
9270,1.3,270.8,382.5,-0.42,-69.68
9271,5.2,251.6,293.4,-1.35,6.05
9272,1.4,288.6,317.9,0.2,-45.2
9273,7.2,247.4,471.1,-0.8,-9.1
9274,1.2,205.2,235.9,-1.35,6.05
9275,5.4,328.6,418.7,-0.4,64.9
9276,1.4,188.1,183.6,1.35,-6.05
9277,5.8,247.7,353.8,0.4,-64.9
9278,8,264.1,480.2,0.8,9.1
9279,1.2,329.8,363.1,-0.2,45.2
9280,7.7,382.8,333.6,1.35,-6.05
9281,7.3,378.3,421.1,1.8,48.4
9282,1.4,163.5,256.5,0,0
9283,8.7,341.8,315.3,0,0
9284,8.2,444.3,527.5,0,0
9285,1.2,374.5,405,0.9,155.7
9286,5.5,224.1,372.7,-1.8,-48.4
9287,0.3,255,249.3,-0.9,-155.7
9288,6.7,240.4,278.5,0,0
9289,1.3,160.4,225.8,0,0
9290,9.2,378.1,483,0,0
9291,1.4,253.7,314.4,2.45,79.4
9292,6.5,266.9,391.9,0.3,-71.8
9293,0.8,396.5,411.8,-5.55E-17,-42.8
9294,9.2,384.9,344.3,2.45,79.4
9295,6,227.8,400.1,0.4,-24
9296,6.2,374.6,463.7,-0.3,71.8
9297,0.8,395.7,454.6,5.55E-17,42.8
9298,1.3,173,253.6,-2.45,-79.4
9299,5.6,303.4,424.1,-0.4,24
9300,4.4,235.2,246.3,-2.45,-79.4
9301,1.2,196.7,329.9,-0.38,44.14
9302,8.3,323.9,513.7,-0.38,44.14
9303,8,300,489.3,-0.38,44.14
9304,0.3,391.6,359.4,-0.38,44.14
9305,7.9,335.2,373,-0.38,44.14
9306,9.8,394.8,423.3,0.38,-44.14
9307,0.2,223.4,295.3,0.38,-44.14
9308,7.3,289.8,449.3,0.38,-44.14
9309,1.4,179.1,233.4,0.38,-44.14
9310,8.9,280.3,443.3,0.38,-44.14
9311,4.9,342.9,307.7,-0.22,24.3
9312,1.3,211.5,231.5,-0.22,24.3
9313,7.5,411.5,450.4,-0.22,24.3
9314,0,389.9,386.3,-0.22,24.3
9315,7.4,470.1,414.8,-0.22,24.3
9316,6.3,316.2,274.5,0.22,-24.3
9317,7.8,274.9,446.3,0.22,-24.3
9318,4.8,232.3,317.9,0.22,-24.3
9319,1.6,211.7,328.5,0.22,-24.3
9320,1.7,404.9,302,0.22,-24.3
9321,5.2,221.9,297.1,-2.2,-198.6
9322,1.4,307.8,320.6,0,0
9323,1.3,194.3,267,0,0
9324,8,324,285.8,0,0
9325,6,234.2,389.8,0.8,15.8
9326,6.9,270.1,291.7,0,0
9327,1.4,205.1,259,0,0
9328,5.2,222.5,374,-0.8,-15.8
9329,0.4,361.6,484.6,0,0
9330,7.4,444.3,495.7,2.2,198.6
9331,8.6,316.6,483.7,0.36,46.6
9332,0.4,295,307.9,0.36,46.6
9333,0.3,313.2,275.1,0.36,46.6
9334,6.3,265,418.9,0.36,46.6
9335,7.5,494.5,334,0.36,46.6
9336,6.4,230.4,396.4,-0.36,-46.6
9337,8.2,282.7,455.3,-0.36,-46.6
9338,5.3,215.3,266.4,-0.36,-46.6
9339,1.2,143.3,220.5,-0.36,-46.6
9340,0.2,223.5,248,-0.36,-46.6
9341,1.3,188.3,263.4,0,0
9342,0,307,304.2,-0.1,-42.6
9343,6.6,347.3,414.8,0,0
9344,8.6,373.7,546.9,2.1,103.8
9345,5.6,282.9,308.5,0,0
9346,0.1,281.5,346.8,0.1,42.6
9347,0.8,206.5,259.6,0,0
9348,8.9,365.6,484.2,0,0
9349,6.5,227.3,443.1,-2.1,-103.8
9350,8.8,402.1,389.4,0,0
9351,6.3,286.6,447.5,-0.9,16.1
9352,0.4,284.6,377,-0.9,41.6
9353,0.6,260.4,209.2,-0.45,-9.6
9354,7,340.1,355.9,-0.45,-9.6
9355,6.3,316.9,468.4,-1.7,39.2
9356,8,308.4,429.2,1.7,-39.2
9357,1.3,441.2,335.4,0.9,-41.6
9358,1.5,187.2,276.7,0.45,9.6
9359,7.2,324.3,431.4,0.9,-16.1
9360,7,319.2,307.6,0.45,9.6
9361,1.4,284,356.8,1.2,-82
9362,7.2,396.8,293,0.85,14.45
9363,1.2,222.5,256.8,0.85,14.45
9364,6.7,294,465.9,-0.7,6.3
9365,7.2,257.4,431.1,-1.2,-62.1
9366,0.9,209.4,243.3,-0.85,-14.45
9367,8.4,298.4,493.2,1.2,62.1
9368,7.4,290.5,459.6,0.7,-6.3
9369,5.8,234,277.6,-0.85,-14.45
9370,0.2,405.2,438.8,-1.2,82
9371,0.1,248.7,242.9,-0.3,-127.1
9372,9,367,495.1,0.8,-16.6
9373,8.8,277.2,482.3,1.6,70.6
9374,1.7,200.8,271.3,0.6,-9.7
9375,6.8,298.9,290.2,0.6,-9.7
9376,0.4,299.9,370,0.3,127.1
9377,6.5,371.1,302.6,-0.6,9.7
9378,0.8,227.3,278.3,-0.6,9.7
9379,8.2,395.1,511.7,-0.8,16.6
9380,7.2,249.9,411.7,-1.6,-70.6
9381,0.8,288.9,358.2,0,-92.6
9382,6,329.9,445.8,-0.5,6.6
9383,6.8,294.7,464.8,0.5,101.8
9384,1.5,211.8,258.5,0.55,60.9
9385,6.9,334.7,314.7,0.55,60.9
9386,6.3,262.8,363,-0.5,-101.8
9387,0.8,375.8,450.8,0,92.6
9388,6.5,336.7,439.2,0.5,-6.6
9389,1.4,164.1,155.2,-0.55,-60.9
9390,5.9,237.3,296.2,-0.55,-60.9
9391,0.6,207,212.6,-1,-22.5
9392,7.5,407.9,387.7,-1,-22.5
9393,5.3,256.9,376.2,-0.5,-15.8
9394,0.2,280.4,354.6,0.2,53.3
9395,5.1,296.1,338,-0.3,6.3
9396,1.5,273.5,241.4,1,22.5
9397,0,324.4,301.3,-0.2,-53.3
9398,5.4,304.1,331.7,0.3,-6.3
9399,5.8,345.4,392,0.5,15.8
9400,8.6,376.1,403.9,1,22.5
9401,8.4,353,519.5,1,85.4
9402,0.1,264.6,332.5,-0.1,-56.4
9403,6.9,231.3,421.6,-1.4,-135.4
9404,7.2,252.9,311.4,-1,-12.95
9405,1,156.3,243.4,-1,-12.95
9406,8.3,321.5,557,1.4,135.4
9407,1.7,166.5,275.3,1,12.95
9408,0.2,293.1,388.9,0.1,56.4
9409,7.4,282.1,434.1,-1,-85.4
9410,8.5,276.6,305.4,1,12.95
9411,8.1,259.7,335.9,0.4,-27.6
9412,6.9,239.7,421,-1.2,-31.9
9413,1.4,156.6,213.7,0.4,-27.6
9414,0.2,288.1,336.1,-0.3,4.7
9415,6.5,311,472.8,0.4,65.9
9416,7.4,345.4,305.7,-0.4,27.6
9417,1.3,235.2,299.1,-0.4,27.6
9418,0.5,277.7,331.4,0.3,-4.7
9419,8.1,273,452.9,1.2,31.9
9420,6.1,350.3,406.9,-0.4,-65.9
9421,0.9,171.6,232.3,-1.02,-27.3
9422,4.6,316.2,368.2,-1.02,-27.3
9423,6.8,365,414.6,-1.02,-27.3
9424,5.1,218.2,216.5,-1.02,-27.3
9425,0.2,242.3,324.1,-1.02,-27.3
9426,1.3,217.3,277.6,1.02,27.3
9427,7.5,405.1,341.1,1.02,27.3
9428,5.8,335.3,338.3,1.02,27.3
9429,7.6,264.7,416.6,1.02,27.3
9430,0.5,268.6,318.6,1.02,27.3
9431,0.3,279.7,325.2,0,0
9432,1.1,158.6,214.8,0,0
9433,8.5,303.1,378.6,0,0
9434,5.9,247.3,403.7,0,0
9435,4.9,334.3,413.1,0,0
9436,7.7,295.9,291.3,0,0
9437,7.1,289.7,445.7,0,0
9438,6.9,267.4,384.4,0,0
9439,1.2,163.2,270.4,0,0
9440,0.1,251.3,294.7,0,0
9441,8.1,363.6,542.4,0.5,37.26
9442,8.8,324.2,504,0.5,37.26
9443,0,369.9,383.9,0.5,37.26
9444,8.9,351,301.5,0.5,37.26
9445,1.1,217.7,261.5,0.5,37.26
9446,8.1,258.1,482.8,-0.5,-37.26
9447,1.2,180.2,284,-0.5,-37.26
9448,6.5,242.2,401.2,-0.5,-37.26
9449,8.3,337,322,-0.5,-37.26
9450,0.3,247.9,317,-0.5,-37.26
9451,7,280,415.6,0,0
9452,5.5,232.8,244.8,-1.65,-58.4
9453,0,321,286.3,-0.5,-36.1
9454,7,242.3,405.2,0,0
9455,0.5,163,235.7,-1.65,-58.4
9456,1.3,184.4,279,1.65,58.4
9457,8,338,318.3,1.65,58.4
9458,7.7,300.7,449.7,0,0
9459,8.4,285.4,477.7,0,0
9460,0.5,304.9,322.4,0.5,36.1
9461,7.9,298.6,314.9,-0.15,19.8
9462,1.3,192.6,274.4,-0.15,19.8
9463,0.4,421.3,432.2,0,85.6
9464,7.3,277.1,418.4,0,0
9465,8.7,277,455.7,0,0
9466,0.4,245.1,346.6,0,-85.6
9467,7.8,261.3,421.3,0,0
9468,8.3,275.1,298.9,0.15,-19.8
9469,1.2,163.6,250.8,0.15,-19.8
9470,5.4,248.4,405.1,0,0
9471,1.1,143.4,122.1,-0.98,-135.22
9472,6.2,230.5,372.9,-0.98,-135.22
9473,0.2,104.2,111.8,-0.98,-135.22
9474,4.8,214.2,226,-0.98,-135.22
9475,5.5,210.1,360.6,-0.98,-135.22
9476,1.4,381,485.3,0.98,135.22
9477,8,367.4,325.5,0.98,135.22
9478,1.2,289.7,308.3,0.98,135.22
9479,7.7,307.5,440.4,0.98,135.22
9480,4.4,235.7,310,0.98,135.22
9481,7.5,280.6,458.5,0,0
9482,7,276.8,325.4,-0.25,10.35
9483,0.4,442.8,455.7,0.1,144.3
9484,1.6,197.6,245.6,-0.25,10.35
9485,8.4,278.4,424.8,0,0
9486,7.6,321.3,295.4,0.25,-10.35
9487,1.5,187.5,254.9,0.25,-10.35
9488,6.4,236.8,429.7,0,0
9489,0.3,264.1,311.4,-0.1,-144.3
9490,7.5,251.2,434.8,0,0
9491,0.9,590.3,707.8,0.12,45.48
